ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
1,20,1,55,981.0,927.0,20.0,
2,32,0,66,981.0,927.0,20.0,
3,20,1,55,981.0,927.0,20.0,
4,32,0,66,981.0,927.0,20.0,
5,20,537,591,981.0,927.0,20.0,
6,20,634,688,981.0,927.0,20.0,
7,20,384,438,981.0,927.0,20.0,
8,20,0,54,981.0,927.0,20.0,
9,20,162,216,981.0,927.0,20.0,
10,20,38,92,981.0,927.0,20.0,
11,20,46,100,981.0,927.0,20.0,
12,20,0,54,981.0,927.0,20.0,
13,20,46,100,981.0,927.0,20.0,
14,20,0,54,981.0,927.0,20.0,
15,20,1,55,981.0,927.0,20.0,
16,32,0,66,981.0,927.0,20.0,
17,20,63,117,981.0,927.0,20.0,
18,20,0,54,981.0,927.0,20.0,
19,20,0,54,981.0,927.0,20.0,
20,20,0,54,981.0,927.0,20.0,
21,20,0,54,981.0,927.0,20.0,
22,20,0,54,981.0,927.0,20.0,
23,20,419,473,981.0,927.0,20.0,
24,20,74,128,981.0,927.0,20.0,
25,20,38,92,981.0,927.0,20.0,
26,20,0,54,981.0,927.0,20.0,
27,20,46,100,981.0,927.0,20.0,
28,20,46,100,981.0,927.0,20.0,
29,20,0,54,981.0,927.0,20.0,
30,20,1,55,981.0,927.0,20.0,
31,32,0,66,981.0,927.0,20.0,
32,20,1386,1440,981.0,927.0,20.0,
33,20,66,120,981.0,927.0,20.0,
34,20,0,54,981.0,927.0,20.0,
35,20,1386,1440,981.0,927.0,20.0,
36,20,1386,1440,981.0,927.0,20.0,
37,20,0,54,981.0,927.0,20.0,
38,20,1386,1440,981.0,927.0,20.0,
39,20,1386,1440,981.0,927.0,20.0,
40,20,0,54,981.0,927.0,20.0,
41,20,1386,1440,981.0,927.0,20.0,
42,20,1386,1440,981.0,927.0,20.0,
43,20,0,54,981.0,927.0,20.0,
44,20,1386,1440,981.0,927.0,20.0,
45,20,1386,1440,981.0,927.0,20.0,
46,20,0,54,981.0,927.0,20.0,
47,20,1386,1440,981.0,927.0,20.0,
48,20,1386,1440,981.0,927.0,20.0,
49,20,0,54,981.0,927.0,20.0,
50,20,1386,1440,981.0,927.0,20.0,
51,20,1386,1440,981.0,927.0,20.0,
52,20,0,54,981.0,927.0,20.0,
53,20,1386,1440,981.0,927.0,20.0,
54,20,1386,1440,981.0,927.0,20.0,
55,20,0,54,981.0,927.0,20.0,
56,20,1386,1440,981.0,927.0,20.0,
57,20,1386,1440,981.0,927.0,20.0,
58,20,0,54,981.0,927.0,20.0,
59,20,1386,1440,981.0,927.0,20.0,
60,20,1386,1440,981.0,927.0,20.0,
61,20,0,54,981.0,927.0,20.0,
62,20,1386,1440,981.0,927.0,20.0,
63,20,1386,1440,981.0,927.0,20.0,
64,20,0,54,981.0,927.0,20.0,
65,20,1386,1440,981.0,927.0,20.0,
66,20,1386,1440,981.0,927.0,20.0,
67,20,0,54,981.0,927.0,20.0,
68,20,1386,1440,981.0,927.0,20.0,
69,20,1386,1440,981.0,927.0,20.0,
70,20,0,54,981.0,927.0,20.0,
71,20,1386,1440,981.0,927.0,20.0,
72,20,1386,1440,981.0,927.0,20.0,
73,20,0,54,981.0,927.0,20.0,
74,20,1386,1440,981.0,927.0,20.0,
75,20,1386,1440,981.0,927.0,20.0,
