ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
154,40,0,74,814.0,760.0,20.0,
155,20,1386,1440,814.0,760.0,20.0,
156,40,0,74,814.0,760.0,20.0,
157,20,1386,1440,814.0,760.0,20.0,
158,40,0,74,814.0,760.0,20.0,
159,20,1386,1440,814.0,760.0,20.0,
160,40,0,74,814.0,760.0,20.0,
161,20,1386,1440,814.0,760.0,20.0,
162,40,0,74,814.0,760.0,20.0,
164,20,1386,1440,814.0,760.0,20.0,
165,20,1386,1440,814.0,760.0,20.0,
166,40,0,74,814.0,760.0,20.0,
167,40,0,74,814.0,760.0,20.0,
168,20,1386,1440,814.0,760.0,20.0,
169,20,1162,1216,814.0,760.0,20.0,
170,40,0,74,814.0,760.0,20.0,
171,40,0,74,814.0,760.0,20.0,
172,20,1386,1440,814.0,760.0,20.0,
173,32,0,66,814.0,760.0,20.0,
174,20,1386,1440,814.0,760.0,20.0,
175,20,1386,1440,814.0,760.0,20.0,
177,32,0,66,814.0,760.0,20.0,
178,20,0,54,814.0,760.0,20.0,
180,20,224,278,814.0,760.0,20.0,
181,20,1386,1440,814.0,760.0,20.0,
182,20,0,54,814.0,760.0,20.0,
183,20,1386,1440,814.0,760.0,20.0,
184,20,1386,1440,814.0,760.0,20.0,
185,20,1386,1440,814.0,760.0,20.0,
186,20,1386,1440,814.0,760.0,20.0,
187,20,1386,1440,814.0,760.0,20.0,
188,20,1162,1216,814.0,760.0,20.0,
189,20,1386,1440,814.0,760.0,20.0,
190,20,224,278,814.0,760.0,20.0,
191,20,1386,1440,814.0,760.0,20.0,
192,20,1386,1440,814.0,760.0,20.0,
193,20,1386,1440,814.0,760.0,20.0,
194,20,1386,1440,814.0,760.0,20.0,
195,20,1386,1440,814.0,760.0,20.0,
196,20,1386,1440,814.0,760.0,20.0,
197,20,1386,1440,814.0,760.0,20.0,
198,20,0,54,814.0,760.0,20.0,
199,20,1386,1440,814.0,760.0,20.0,
200,20,0,54,814.0,760.0,20.0,
201,20,1386,1440,814.0,760.0,20.0,
202,20,1386,1440,814.0,760.0,20.0,
203,20,1386,1440,814.0,760.0,20.0,
204,20,1386,1440,814.0,760.0,20.0,
205,20,0,54,814.0,760.0,20.0,
206,20,1386,1440,814.0,760.0,20.0,
207,20,1386,1440,814.0,760.0,20.0,
208,20,1386,1440,814.0,760.0,20.0,
209,20,1386,1440,814.0,760.0,20.0,
210,20,1386,1440,814.0,760.0,20.0,
211,20,0,54,814.0,760.0,20.0,
212,20,1386,1440,814.0,760.0,20.0,
213,20,1386,1440,814.0,760.0,20.0,
214,20,1386,1440,814.0,760.0,20.0,
215,20,1386,1440,814.0,760.0,20.0,
216,20,0,54,814.0,760.0,20.0,
217,20,1386,1440,814.0,760.0,20.0,
218,20,0,54,814.0,760.0,20.0,
219,20,1386,1440,814.0,760.0,20.0,
220,20,1386,1440,814.0,760.0,20.0,
221,20,1386,1440,814.0,760.0,20.0,
222,20,0,54,814.0,760.0,20.0,
223,20,1386,1440,814.0,760.0,20.0,
224,20,0,54,814.0,760.0,20.0,
225,20,1386,1440,814.0,760.0,20.0,
226,20,1386,1440,814.0,760.0,20.0,
227,20,0,54,814.0,760.0,20.0,
228,20,1386,1440,814.0,760.0,20.0,
229,20,1386,1440,814.0,760.0,20.0,
230,20,1386,1440,814.0,760.0,20.0,
231,20,1386,1440,814.0,760.0,20.0,
232,20,1386,1440,814.0,760.0,20.0,
233,20,0,54,814.0,760.0,20.0,
234,20,1386,1440,814.0,760.0,20.0,
235,20,1386,1440,814.0,760.0,20.0,
236,20,1386,1440,814.0,760.0,20.0,
237,20,0,54,814.0,760.0,20.0,
238,20,1386,1440,814.0,760.0,20.0,
239,20,1386,1440,814.0,760.0,20.0,
240,20,0,54,814.0,760.0,20.0,
241,20,1386,1440,814.0,760.0,20.0,
242,20,1386,1440,814.0,760.0,20.0,
243,20,0,54,814.0,760.0,20.0,
244,20,1386,1440,814.0,760.0,20.0,
245,20,1386,1440,814.0,760.0,20.0,
246,20,0,54,814.0,760.0,20.0,
247,20,1386,1440,814.0,760.0,20.0,
248,20,1386,1440,814.0,760.0,20.0,
249,20,0,54,814.0,760.0,20.0,
250,20,1386,1440,814.0,760.0,20.0,
251,20,1386,1440,814.0,760.0,20.0,
252,20,0,54,814.0,760.0,20.0,
253,20,1386,1440,814.0,760.0,20.0,
254,20,1386,1440,814.0,760.0,20.0,
255,20,0,54,814.0,760.0,20.0,
256,20,1386,1440,814.0,760.0,20.0,
257,20,1386,1440,814.0,760.0,20.0,
258,20,0,54,814.0,760.0,20.0,
259,20,1386,1440,814.0,760.0,20.0,
260,20,1386,1440,814.0,760.0,20.0,
261,20,0,54,814.0,760.0,20.0,
262,20,1386,1440,814.0,760.0,20.0,
263,20,1386,1440,814.0,760.0,20.0,
264,20,0,54,814.0,760.0,20.0,
265,20,1386,1440,814.0,760.0,20.0,
266,20,1386,1440,814.0,760.0,20.0,
267,20,1386,1440,814.0,760.0,20.0,
268,20,1386,1440,814.0,760.0,20.0,
269,20,1386,1440,814.0,760.0,20.0,
270,20,1386,1440,814.0,760.0,20.0,
271,20,0,54,814.0,760.0,20.0,
272,20,1386,1440,814.0,760.0,20.0,
273,20,1386,1440,814.0,760.0,20.0,
274,20,0,54,814.0,760.0,20.0,
275,20,1386,1440,814.0,760.0,20.0,
276,20,1386,1440,814.0,760.0,20.0,
277,20,0,54,814.0,760.0,20.0,
278,20,1386,1440,814.0,760.0,20.0,
279,20,1386,1440,814.0,760.0,20.0,
280,20,0,54,814.0,760.0,20.0,
281,20,1386,1440,814.0,760.0,20.0,
282,20,1386,1440,814.0,760.0,20.0,
283,20,0,54,814.0,760.0,20.0,
284,20,1386,1440,814.0,760.0,20.0,
285,20,1386,1440,814.0,760.0,20.0,
286,20,0,54,814.0,760.0,20.0,
287,20,1386,1440,814.0,760.0,20.0,
288,20,1386,1440,814.0,760.0,20.0,
289,20,0,54,814.0,760.0,20.0,
290,20,1386,1440,814.0,760.0,20.0,
291,20,1386,1440,814.0,760.0,20.0,
292,20,0,54,814.0,760.0,20.0,
293,20,1386,1440,814.0,760.0,20.0,
294,20,1386,1440,814.0,760.0,20.0,
295,20,0,54,814.0,760.0,20.0,
296,20,1386,1440,814.0,760.0,20.0,
297,20,1386,1440,814.0,760.0,20.0,
298,20,0,54,814.0,760.0,20.0,
299,20,1386,1440,814.0,760.0,20.0,
300,20,1386,1440,814.0,760.0,20.0,
301,20,0,54,814.0,760.0,20.0,
302,20,1386,1440,814.0,760.0,20.0,
303,20,1386,1440,814.0,760.0,20.0,
304,20,0,54,814.0,760.0,20.0,
305,20,1386,1440,814.0,760.0,20.0,
306,20,1386,1440,814.0,760.0,20.0,
307,20,0,54,814.0,760.0,20.0,
308,20,1386,1440,814.0,760.0,20.0,
309,20,1386,1440,814.0,760.0,20.0,
310,20,1386,1440,814.0,760.0,20.0,
311,20,1386,1440,814.0,760.0,20.0,
312,20,1386,1440,814.0,760.0,20.0,
313,20,1386,1440,814.0,760.0,20.0,
314,20,1386,1440,814.0,760.0,20.0,
315,20,1386,1440,814.0,760.0,20.0,
316,20,0,54,814.0,760.0,20.0,
317,20,1386,1440,814.0,760.0,20.0,
318,20,1386,1440,814.0,760.0,20.0,
319,20,0,54,814.0,760.0,20.0,
320,20,1386,1440,814.0,760.0,20.0,
321,20,1386,1440,814.0,760.0,20.0,
322,20,1386,1440,814.0,760.0,20.0,
323,20,1386,1440,814.0,760.0,20.0,
324,20,1386,1440,814.0,760.0,20.0,
325,20,1386,1440,814.0,760.0,20.0,
326,20,1386,1440,814.0,760.0,20.0,
327,20,1386,1440,814.0,760.0,20.0,
328,20,1386,1440,814.0,760.0,20.0,
329,20,1386,1440,814.0,760.0,20.0,
330,20,1386,1440,814.0,760.0,20.0,
331,20,1386,1440,814.0,760.0,20.0,
332,20,1386,1440,814.0,760.0,20.0,
333,20,1386,1440,814.0,760.0,20.0,
334,20,1386,1440,814.0,760.0,20.0,
335,20,1386,1440,814.0,760.0,20.0,
336,20,0,54,814.0,760.0,20.0,
337,20,1386,1440,814.0,760.0,20.0,
338,20,1386,1440,814.0,760.0,20.0,
339,20,0,54,814.0,760.0,20.0,
340,20,1386,1440,814.0,760.0,20.0,
341,20,1386,1440,814.0,760.0,20.0,
