ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
168,8,1350,1392,932.0,890.0,8.0,
169,8,1350,1392,932.0,890.0,8.0,
170,8,1350,1392,932.0,890.0,8.0,
171,8,1350,1392,932.0,890.0,8.0,
172,8,1350,1392,932.0,890.0,8.0,
173,8,41,83,932.0,890.0,8.0,
174,8,41,83,932.0,890.0,8.0,
175,8,41,83,932.0,890.0,8.0,
176,8,41,83,932.0,890.0,8.0,
177,8,1350,1392,932.0,890.0,8.0,
178,8,1350,1392,932.0,890.0,8.0,
179,8,41,83,932.0,890.0,8.0,
180,8,1350,1392,932.0,890.0,8.0,
181,8,1350,1392,932.0,890.0,8.0,
182,8,41,83,932.0,890.0,8.0,
183,8,1350,1392,932.0,890.0,8.0,
184,8,1350,1392,932.0,890.0,8.0,
185,8,41,83,932.0,890.0,8.0,
186,8,1350,1392,932.0,890.0,8.0,
187,8,1350,1392,932.0,890.0,8.0,
188,8,41,83,932.0,890.0,8.0,
189,8,1350,1392,932.0,890.0,8.0,
190,8,1350,1392,932.0,890.0,8.0,
191,8,41,83,932.0,890.0,8.0,
192,8,1350,1392,932.0,890.0,8.0,
193,8,1350,1392,932.0,890.0,8.0,
194,8,41,83,932.0,890.0,8.0,
195,8,1350,1392,932.0,890.0,8.0,
196,8,1350,1392,932.0,890.0,8.0,
197,8,41,83,932.0,890.0,8.0,
198,8,1350,1392,932.0,890.0,8.0,
199,8,1350,1392,932.0,890.0,8.0,
200,8,41,83,932.0,890.0,8.0,
201,8,1350,1392,932.0,890.0,8.0,
202,8,1350,1392,932.0,890.0,8.0,
203,8,41,83,932.0,890.0,8.0,
204,8,1350,1392,932.0,890.0,8.0,
205,8,1350,1392,932.0,890.0,8.0,
206,8,43,85,932.0,890.0,8.0,
207,8,1350,1392,932.0,890.0,8.0,
208,8,2,56,932.0,890.0,8.0,
209,8,1350,1392,932.0,890.0,8.0,
210,8,43,85,932.0,890.0,8.0,
211,8,1350,1392,932.0,890.0,8.0,
212,8,1350,1392,932.0,890.0,8.0,
213,8,43,85,932.0,890.0,8.0,
